,Room #,Side of Room,
,,,
Floor 1,,,
,133B,upper left corner,
,137A,top,
,137B,top,
,147,top,
,149A,top,
,180,top,
,168,right,
,156A,lower right corner,
,156,bottom,
,154,bottom,
,148,bottom,
,132,lower left corner,
,131,left,
,133B,left,
,133A,left,
,,,
Floor 2,,,
,280A,left of upper section of floor,
,268,lower right corner,
,266,bottom,
,266C,bottom,
,254,bottom,
,250,bottom,
,200AA,bottom,
,200A,bottom,
,200,lower left corner,
,,,
Floor 3,,,
,329,top (by terrace?),
,377,top (by terrace?),
,379,top (by terrace?),
,368,right,
,356G,bottom right corner,
,356F,bottom,
,356E,bottom,
,356D,bottom,
,356C,bottom,
,345,bottom,
,330H,bottom,
,330G,bottom,
,330A,bottom,
,330B,bottom,
,330C,lower left corner,
,330D,left,
,330E,left,
,330F,left,
,,,
Floor 4,,,
,413,upper left corner,
,415,top,
,417,top,
,419,top,
,421,top,
,423,top,
,425,top,
,429,top,
,477,top,
,479,top,
,468,right,
,466,lower right corner,
,464,bottom,
,462,bottom,
,458,bottom,
,456,bottom,
,454,bottom,
,452,bottom,
,448,bottom,
,446,bottom,
,444,bottom,
,442,bottom,
,434,lower left corner,
,432,left,
,430,left,
,,,
Floor 5,,,
,511,upper left corner,
,513,top,
,515,top,
,599,top,
,597,upper right corner,
,595,right,
,593,right,
,591,right,
,568,right,
,566,lower right corner,
,564,bottom,
,562,bottom,
,558,bottom,
,556,bottom,
,554,bottom,
,552,bottom,
,548,bottom,
,538,bottom,
,532,left,
,510,left,
,,,
Floor 6,,,
,630A,top,
,621E,top,
,621D,top,
,621C,top,
,621B,top,
,621A,top,
,668,lower right corner,
,666,bottom,
,656B,bottom,
,656A,bottom,
,652B,bottom,
,652A,bottom,
,648,bottom,
,646,bottom,
,644,bottom,
,642,bottom,
,640,bottom,
,630,left,
,,,
Floor 7,,,
,730,upper left corner,
,717,top,
,719,top,
,721,top,
,723,top,
,725,top,
,780,top,
,768,bottom,
,750,bottom,
,754,bottom,
,746,bottom,
,738,bottom,
,736,lower left corner,